summonerName,count,win,winRate,totalDamageDealt,damageDealtToObjectives,totalDamageDealtToChampions,damageDealtToTurrets,inhibitorKills,firstTowerKill,turretKills,goldEarned,goldSpent,champLevel,totalMinionsKilled,firstBloodKill,firstInhibitorKill,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,neutralMinionsKilled,visionScore,wardsPlaced,wardsKilled,kda
Lpc1,26,12.0,0.46153846153846156,148920.53846153847,11460.576923076924,19353.923076923078,4489.615384615385,0.19230769230769232,0.07692307692307693,1.6538461538461537,12942.26923076923,12105.0,14.5,195.8846153846154,0.11538461538461539,0.15384615384615385,13.0,1.0,17.923076923076923,29.653846153846153,14.692307692307692,5.0,3.13916820359128
Lucile,3,2.0,0.6666666666666666,24785.333333333332,1355.6666666666667,8677.666666666666,476.3333333333333,0.0,0.0,0.0,6963.333333333333,6131.666666666667,12.0,37.0,0.0,0.0,0.0,0.0,0.0,67.33333333333333,32.666666666666664,12.333333333333334,3.361111111111111
LunaLina,22,10.0,0.45454545454545453,116060.72727272728,6905.590909090909,16167.727272727272,4299.454545454545,0.13636363636363635,0.0,1.6363636363636365,11261.318181818182,10295.90909090909,14.181818181818182,177.72727272727272,0.13636363636363635,0.045454545454545456,4.818181818181818,2.409090909090909,10.636363636363637,24.681818181818183,7.454545454545454,4.863636363636363,3.9527597402597396
Lv 1 갑각류,29,15.0,0.5172413793103449,130711.0,6965.068965517241,16781.344827586207,3295.137931034483,0.13793103448275862,0.06896551724137931,1.3103448275862069,10191.48275862069,9585.379310344828,14.0,171.93103448275863,0.034482758620689655,0.10344827586206896,1.793103448275862,1.103448275862069,5.0,19.310344827586206,8.517241379310345,2.6206896551724137,3.6337438423645323
MAI WAY,19,11.0,0.5789473684210527,107175.42105263157,5048.9473684210525,14611.947368421053,2970.8947368421054,0.10526315789473684,0.0,1.2105263157894737,9722.947368421053,9178.315789473685,14.105263157894736,154.57894736842104,0.15789473684210525,0.05263157894736842,2.789473684210526,1.7894736842105263,5.631578947368421,24.36842105263158,9.210526315789474,4.684210526315789,3.294674185463659
MAKJANG,21,14.0,0.6666666666666666,133318.61904761905,8235.285714285714,16089.904761904761,2978.190476190476,0.19047619047619047,0.09523809523809523,1.0952380952380953,11339.285714285714,10578.095238095239,14.571428571428571,177.61904761904762,0.047619047619047616,0.09523809523809523,11.0,2.380952380952381,18.476190476190474,25.80952380952381,10.571428571428571,5.285714285714286,4.200075585789871
MIDKlNG,25,14.0,0.56,142089.6,6526.48,24098.16,3403.84,0.16,0.04,1.28,12587.0,11703.44,14.76,186.76,0.08,0.08,9.8,3.52,16.12,24.48,8.96,3.52,5.740362193362192
Maile1,22,13.0,0.5909090909090909,105805.18181818182,7688.318181818182,14175.727272727272,4028.1363636363635,0.18181818181818182,0.0,1.3636363636363635,9739.454545454546,8894.09090909091,13.136363636363637,152.8181818181818,0.0,0.13636363636363635,5.5,2.1363636363636362,10.5,17.59090909090909,8.181818181818182,2.227272727272727,6.154004329004328
Mango Fish,20,12.0,0.6,131187.1,6701.8,17221.75,3890.65,0.05,0.05,1.5,12534.35,11215.75,15.1,181.2,0.25,0.0,13.65,3.3,21.3,22.95,3.15,6.25,4.637777777777778
Mao li lan,18,8.0,0.4444444444444444,138073.72222222222,11800.111111111111,20296.777777777777,3587.277777777778,0.2777777777777778,0.1111111111111111,1.3888888888888888,12023.666666666666,11709.444444444445,13.833333333333334,167.88888888888889,0.2222222222222222,0.05555555555555555,18.27777777777778,1.9444444444444444,25.444444444444443,19.38888888888889,6.388888888888889,4.833333333333333,3.029761904761905
